EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
1,16.0,20,5.0,16,7194,2017-07-26,3,80,1,,Non-Travel,no,1,83,2,3,731,no,M,Y,3,2,0,Remote worker,2,3,41.0,2.0,Research & Development,6888.0,2.0,single,4,0,3,Research Scientist
2,,15,2.0,0,7805,30/04/2010,2,80,1,Medical,Rarely,NO,2,73,0,3,1401,0,Female,Y,2,3,0,On PIP,2,0,35.0,,Research & Development,9211.0,4.0,married,3,0,4,Research Scientist
3,0.0,21,3.0,0,14797,2016-06-12,3,80,1,Medical,travel_rarely,N,24,81,0,3,813,N,MALE,Y,3,2,0,Average,2,1,42.0,3.0,Research and Development,10370.0,4.0,SINGLE,4,0,3,Manufacturing Director
4,9.0,18,1.0,9,25106,2013-05-24,2,80,1,Life Sciences,Rarely,NO,24,45,1,4,1169,No,Male,Y,3,1,7,Exceeded expectations,1,0,50.0,4.0,R&D,nan,2.0,Married,4,3,3,Research Scientist
5,15.0,21,2.0,0,18879,2019-09-01,3,80,1,Technical Degree,Travel Rarely,NO,3,45,0,3,1291,YES,F,Y,3,6,0,,4,0,34.0,2.0,R&D,15586.0,4.0,single,3,0,3,Laboratory Technician
6,14.0,18,0.0,3,4995,05/08/2004,4,80,1,Life Sciences,Travel Rarely,No,1 km,84,3,3,721,N,male,Y,1,0,0,,2,1,34.0,4.0,R&D,7878.0,3.0,M,3,3,2,Healthcare Representative
7,15.0,15,1.0,5,18477,2007-08-26,2,80,1,Human Resources,Rarely,No,1,90,2,3,145,N,f,Y,4,2,1,Recently promoted,1,0,51.0,2.0,Sales,$2386.0,,DIVORCED,4,3,2,Sales Representative
8,4.0,18,1.0,3,14912,11-05-2014,3,80,1,Medical,Non Travel,Yes,3,69,3,3,823,False,MALE,Y,2,0,3,Excellent team player,2,2,43.0,3.0,Research&Development,7317.0,3.0,Married,3,0,5,Laboratory Technician
9,21.0,24,1.0,15,22708,01-26-2015,3,80,1,Life Sciences,Travel Frequently,no,23,50,1,3,639,NO,F,Y,3,4,1,Remote worker,3,0,32.0,,Research & Development,10611.0,3.0,M,4,2,4,Laboratory Technician
10,0.0,16,0.0,0,8393,2015-07-21,3,80,1,Technical Degree,Travel Rarely,NO,1,95,0,3,186,0,Male,Y,4,3,0,Remote worker,1,0,41.0,2.0,Research&Development,$4254.0,2.0,S,3,0,3,Laboratory Technician
